Day,Area,Price/Block,Band,Demand,Excess Demand,Provisional Price,Price Increment Applicable,Price,lat,long
5,Odisha,4.6,1800,75,-6,4.6,0,23,26,94.2
5,Punjab,14.34,1800,0,-8,14.2,0,71,30.8,75.5
5,Rajasthan,12,1800,0,-52,12,0,60,27,74
5,Tamil Nadu,45,1800,78,-17,45,0,225,11,78
5,Uttar Pradesh E,19.4,1800,15,-6,19.4,0,97,26,82
5,Uttar Pradesh W,19,1800,0,-11,0,0,0,28,80
5,Andhra Pradesh,1375,2100,0,-1,0,0,0,16,80
5,Assam,174.93,2100,0,-1,173.2,0,34.64,26.2006043,92.9375739
5,Delhi,3315,2100,0,-1,0,0,0,28.38,77.12
5,Gujarat,1302.9,2100,0,-1,1290,0,258,23,72
5,Haryana,232.3,2100,0,-1,230,0,46,29.3,76
5,Karnataka,1626.1,2100,0,-1,1610,0,322,15,75
5,Kerala,594.45,2100,0,-1,588.57,0,117.714,10,76.25
5,Kolkata,583.74,2100,0,-1,577.97,0,115.594,22.56263,88.36304
5,Madhya Pradesh,461.31,2100,0,-1,456.75,0,91.35,23.3,80
5,Maharashtra,1520.05,2100,0,-1,1505,0,301,20,76
5,Mumbai,3245,2100,0,-1,0,0,0,19.07283,72.88261
5,North East,51.15,2100,1,-1,51.66,0,10.332,29,95
5,Odisha,182.06,2100,0,-1,180.26,0,36.052,26,94.2
5,Rajasthan,596.29,2100,1,-1,602.25,0,120.45,27,74
5,Tamil Nadu,1737.2,2100,0,-1,1720,0,344,11,78
5,Uttar Pradesh E,456.01,2100,0,-1,451.5,0,90.3,26,82
5,Uttar Pradesh W,520.15,2100,0,-1,515,0,103,28,80
6,Andhra Pradesh,419.31,800,0,-5,391.88,0,313.504,16,80
6,Assam,40.05,800,16,5,40.05,2,32.04,26.2006043,92.9375739
6,Bihar,106.25,800,0,-4,0,0,0,25.11,85.32
6,Delhi,851.4,800,1,-2,851.4,0,681.12,28.38,77.12
6,Gujarat,347.18,800,0,-2,343.75,0,275,23,72
6,Haryana,55.52,800,1,-5,54.98,0,43.984,29.3,76
6,Himachal Pradesh,26.66,800,0,-7,24.46,0,19.568,31.79,77.1
6,Kashmir,36.05,800,2,-5,35.35,0,28.28,33.94,76.54
6,Karnataka,378.75,800,0,-1,0,0,0,15,75
6,Kolkata,183.75,800,0,-1,0,0,0,22.56263,88.36304
6,Madhya Pradesh,204.29,800,8,3,204.29,6.12,163.432,23.3,80
6,Maharashtra,563.08,800,2,-1,563.08,0,450.464,20,76
6,Mumbai,747.46,800,4,-2,747.46,0,597.968,19.07283,72.88261
6,North East,15,800,4,-7,14.29,0,11.432,28,95
6,Odisha,53.86,800,0,-6,51.3,0,41.04,26,94.2
6,Punjab,107.31,800,8,5,107.31,5.36,85.848,30.8,75.5
6,Tamil Nadu,450,800,0,-1,0,0,0,11,78
6,Uttar Pradesh E,167.5,800,0,-3,0,0,0,26,82
6,Uttar Pradesh W,118.75,800,0,-1,0,0,0,28,80
6,West Bengal,71.96,800,0,-1,71.25,0,57,23,87
6,Andhra Pradesh,144.31,900,45,-25,136.15,0,680.75,16,80
6,Assam,23.64,900,50,19,23.64,0.94,118.2,26.2006043,92.9375739
6,Bihar,81.36,900,25,-6,80.56,0,402.8,25.11,85.32
6,Gujarat,146.71,900,30,-40,134.6,0,673,23,72
6,Haryana,30.24,900,26,-36,29.36,0,146.8,29.3,76
6,Himachal Pradesh,11.6,900,0,-62,11.49,0,57.45,31.79,77.1
6,Karnataka,122.65,900,44,-26,111.5,0,557.5,15,75
6,Kerala,74.61,900,30,-32,73.88,0,369.4,10,76.25
6,Madhya Pradesh,64.99,900,0,-62,61.9,0,309.5,23.3,80
6,Maharashtra,154.6,900,0,-70,153.07,0,765.35,20,76
6,North East,6.3,900,69,25,6.3,0.31,31.5,28,95
6,Odisha,28.91,900,6,-25,27.8,0,139,26,94.2
6,Punjab,72.15,900,89,11,72.15,2.16,360.75,30.8,75.5
6,Rajasthan,86.19,900,77,15,86.19,2.58,430.95,27,74
6,Uttar Pradesh E,88.14,900,26,-5,88.14,0,440.7,26,82
6,Uttar Pradesh W,110.25,900,30,-1,110.25,0,551.25,28,80
6,West Bengal,28.61,900,44,22,28.61,1.43,143.05,23,87
6,Andhra Pradesh,49.04,1800,6,-13,48.56,0,242.8,16,80
6,Bihar,12.4,1800,0,-10,0,0,0,25.11,85.32
6,Gujarat,48.07,1800,0,-17,47.6,0,238,23,72
6,Haryana,6.52,1800,47,7,6.52,0.13,32.6,29.3,76
6,Himachal Pradesh,1.98,1800,26,-25,1.8,0,9,31.79,77.1
6,Karnataka,37.37,1800,0,-9,37,0,185,15,75
6,Kerala,15.15,1800,0,-5,15,0,75,10,76.25
6,Kolkata,18.62,1800,98,63,18.62,1.86,93.1,22.56263,88.36304
6,North East,2.2,1800,25,-17,2.2,0,11,28,95
6,Odisha,4.78,1800,75,-6,4.6,0,23,26,94.2
6,Punjab,14.34,1800,0,-8,14.2,0,71,30.8,75.5
6,Rajasthan,13.86,1800,25,-27,13.2,0,66,27,74
6,Tamil Nadu,45,1800,78,-17,45,0,225,11,78
6,Uttar Pradesh E,19.4,1800,15,-6,19.4,0,97,26,82
6,Uttar Pradesh W,19,1800,0,-11,0,0,0,28,80
6,Andhra Pradesh,1375,2100,0,-1,0,0,0,16,80
6,Assam,176.67,2100,0,-1,174.93,0,34.986,26.2006043,92.9375739
6,Delhi,3315,2100,0,-1,0,0,0,28.38,77.12
6,Gujarat,1302.9,2100,0,-1,1290,0,258,23,72
6,Haryana,232.3,2100,0,-1,230,0,46,29.3,76
